City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
59,Goderich,CA,2022-02-06 20:23:41,43.7501,-81.7165,28.9,68,100,13.8,overcast clouds
60,Esperance,AU,2022-02-06 20:23:41,-33.8667,121.9,60.64,63,100,22.53,overcast clouds
61,Oktyabrskoye,RU,2022-02-06 20:23:42,43.0645,44.7417,32.14,74,97,6.71,overcast clouds
62,San Cristobal,VE,2022-02-06 20:23:42,7.7669,-72.225,73.58,57,73,4.09,broken clouds
63,Lusambo,CD,2022-02-06 20:23:43,-4.9667,23.45,73.11,83,100,0.94,light rain
64,Necochea,AR,2022-02-06 20:23:43,-38.5473,-58.7368,63.03,69,86,18.37,overcast clouds
65,Vaini,TO,2022-02-06 20:22:08,-21.2,-175.2,77.16,94,100,9.22,light intensity drizzle
66,Mar Del Plata,AR,2022-02-06 20:19:09,-38.0023,-57.5575,68.09,87,100,3.0,overcast clouds
67,Gandajika,CD,2022-02-06 20:23:44,-6.75,23.95,65.75,95,100,3.65,light rain
68,Pokrovsk,UA,2022-02-06 20:23:44,48.282,37.1758,29.1,93,100,7.9,overcast clouds
69,Novyy Urengoy,RU,2022-02-06 20:23:45,66.0833,76.6333,-21.17,100,73,1.72,broken clouds
70,Boende,CD,2022-02-06 20:23:45,-0.2167,20.8667,81.43,42,100,1.86,overcast clouds
71,Lebu,CL,2022-02-06 20:20:24,-37.6167,-73.65,65.86,67,0,13.18,clear sky
72,Ponta Do Sol,PT,2022-02-06 20:23:46,32.6667,-17.1,63.72,68,9,10.27,clear sky
73,Harper,LR,2022-02-06 20:23:46,4.375,-7.7169,79.84,81,99,10.54,overcast clouds
74,Dikson,RU,2022-02-06 20:23:47,73.5069,80.5464,-20.13,99,93,10.4,overcast clouds
75,Aklavik,CA,2022-02-06 20:21:30,68.2191,-135.0107,-19.37,76,75,16.11,broken clouds
76,Port Shepstone,ZA,2022-02-06 20:23:48,-30.7414,30.455,73.26,86,41,12.62,light rain
77,Albany,US,2022-02-06 20:22:18,42.6001,-73.9662,28.31,56,57,1.01,broken clouds
78,Mastic Beach,US,2022-02-06 20:23:48,40.7668,-72.8521,32.5,68,0,3.0,clear sky
79,Thompson,CA,2022-02-06 20:23:48,55.7435,-97.8558,-3.84,54,20,8.05,few clouds
80,Camacha,PT,2022-02-06 20:20:03,33.0833,-16.3333,59.76,67,40,14.97,scattered clouds
81,Saskylakh,RU,2022-02-06 20:23:49,71.9167,114.0833,-24.97,100,95,2.08,overcast clouds
82,Saldanha,ZA,2022-02-06 20:23:49,-33.0117,17.9442,68.05,96,38,9.33,scattered clouds
83,Khatanga,RU,2022-02-06 20:23:50,71.9667,102.5,-18.26,98,99,8.63,overcast clouds
84,Almonte,ES,2022-02-06 20:23:50,37.2647,-6.5167,59.27,66,4,8.14,clear sky
