City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
95,Port Elizabeth,ZA,77.09,clear sky,-33.918,25.5701,39 On Nile Guest House
96,Yenagoa,NG,80.91,clear sky,4.9247,6.2642,Aridolf Resort Wellness and Spa
97,Mahebourg,MU,79.25,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
99,Caraballeda,VE,89.67,broken clouds,10.6112,-66.8522,Hotel 15 Letras
100,Huntington,US,48.54,clear sky,38.4193,-82.4452,Ramada Limited Huntington
102,Longyearbyen,SJ,21.04,few clouds,78.2186,15.6401,"Radisson Blu Polar Hotel, Spitsbergen"
104,Kapaa,US,77.32,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
105,Salalah,OM,75.06,overcast clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
106,Shache,CN,27.05,overcast clouds,38.4167,77.2406,Delong Hotel
108,Butaritari,KI,81.61,light rain,3.0707,172.7902,Isles Sunset Lodge
109,Lucapa,AO,65.55,moderate rain,-8.4192,20.7447,Residência Ulisses Dos Santos
110,Mumford,GH,80.6,broken clouds,5.2618,-0.759,Spanish Villa
111,Port Lincoln,AU,72.18,clear sky,-34.7333,135.8667,Port Lincoln Hotel
113,Concordia,AR,75.27,few clouds,-31.393,-58.0209,Palmar Hotel Casino
114,Geraldton,AU,68.41,scattered clouds,-28.7667,114.6,Broadwater Mariner Resort
115,Yulara,AU,67.84,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
116,Chizhou,CN,33.69,snow,30.6578,117.4831,Home Inn Chizhou Qiupu West Road Xiushanmen Square
117,Fuling,CN,38.66,light rain,29.7022,107.3919,Yingbin Hostel
118,Hobyo,SO,76.51,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
119,Pemangkat,ID,76.75,overcast clouds,1.1667,108.9667,Ramah Kost KITA
120,Port Alfred,ZA,74.66,broken clouds,-33.5906,26.891,The Halyards Hotel
121,San Ramon De La Nueva Oran,AR,77.34,broken clouds,-23.1322,-64.326,Hotel Residencial Centro
122,Biltine,TD,68.63,broken clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
123,Buritis,BR,70.16,overcast clouds,-15.6178,-46.4233,Hotel Rainha do Vale
125,Cayenne,GF,82.44,moderate rain,4.9333,-52.3333,Hôtel Le Dronmi
126,Alice Springs,AU,58.55,clear sky,-23.7,133.8833,Desert Palms Alice Springs
127,Seddon,AU,62.35,clear sky,-37.8068,144.8916,Footscray Motor Inn
128,Dakar,SN,77.88,clear sky,14.6937,-17.4441,Redface Studios Meublés
129,Zilair,RU,15.1,overcast clouds,52.2332,57.4392,Gostinitsa Rina
131,Svetlogorsk,BY,32.22,overcast clouds,52.6333,29.7333,Hotel Svetlogorsk JBIK
132,Boali,CF,80.47,broken clouds,4.8005,18.1275,Auberge des Cocotiers Boali poste
133,Saint-Philippe,RE,80.15,overcast clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
135,Codrington,AU,56.34,clear sky,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
136,Sabang,ID,77.47,overcast clouds,5.8933,95.3214,Hotel Citra
137,Cockburn Town,TC,78.76,few clouds,21.4612,-71.1419,Osprey Beach Hotel
140,Santa Cruz Cabralia,BR,82.63,scattered clouds,-16.2781,-39.0247,Puerto Princesa Inn
141,East London,ZA,74.34,clear sky,-33.0153,27.9116,Tu Casa
142,Fort Nelson,CA,36.23,overcast clouds,58.8053,-122.7002,The Fort Nelson Hotel
143,Hirara,JP,64.71,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
144,Sangamner,IN,65.37,scattered clouds,19.5667,74.2167,Government Rest House
145,Houma,US,57.2,clear sky,29.5958,-90.7195,Courtyard by Marriott Houma
147,Praia Da Vitoria,PT,60.76,mist,38.7333,-27.0667,Hotel Branco I
148,Ambon,ID,75.34,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
149,Santiago,CL,95.29,clear sky,-33.4569,-70.6483,Che Lagarto Hostel Santiago
150,Hithadhoo,MV,82.27,scattered clouds,-0.6,73.0833,Scoop Guest House
151,Chuy,UY,73.94,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
153,Kutum,SD,56.07,broken clouds,14.2,24.6667,Dibbo areaمنطقة دبو
154,Kindu,CD,73.42,overcast clouds,-2.95,25.95,Résidence Okanda
155,Killam,CA,42.39,broken clouds,52.7834,-111.8518,Wagon Wheel Motel
156,Vestmannaeyjar,IS,35.94,overcast clouds,63.4427,-20.2734,Glamping & Camping
157,Clinton,US,35.67,scattered clouds,42.587,-82.9199,Hampton Inn Detroit/Roseville
158,Tamandare,BR,81.86,broken clouds,-8.7597,-35.1047,Pousada 100 Passos
159,Marawi,PH,63.64,few clouds,7.9986,124.2928,Derogongan Residence
160,Iberia,US,58.05,clear sky,29.9502,-91.7507,back to back rv park
161,Kaseda,JP,34.84,overcast clouds,31.4167,130.3167,Sun Stay Kaseda
164,Ostersund,SE,22.6,light snow,63.1792,14.6357,Best Western Hotel Gamla Teatern
165,Rio Verde De Mato Grosso,BR,81.32,overcast clouds,-18.9181,-54.8442,Quedas Palace Hotel
166,Kankakee,US,33.17,clear sky,41.15,-87.8667,Fairfield Inn by Marriott Kankakee Bourbonnais
167,Bethel,US,30.47,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
168,Sioux Lookout,CA,10.78,few clouds,50.1001,-91.917,Knobby's Fly-In Camps
169,Mercedes,AR,73.18,broken clouds,-34.6515,-59.4307,Posada del Inti Centro
170,Hami,CN,26.08,few clouds,42.8,93.45,Laoyutang Resort
172,San Pedro,PH,78.03,broken clouds,14.35,121.0167,Villa Veronica Resort Private Pool
173,Salinopolis,BR,78.98,moderate rain,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
174,Koungou,YT,80.31,clear sky,-12.7336,45.2042,Villa Netibor
175,Antofagasta,CL,75.22,clear sky,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
176,San Jose,US,69.08,clear sky,37.3394,-121.895,The Westin San Jose
177,Brae,GB,39.11,scattered clouds,60.3964,-1.353,Busta House Hotel
179,Kudahuvadhoo,MV,81.64,few clouds,2.6708,72.8944,Niyama Private Islands Maldives
181,Dunedin,NZ,51.6,few clouds,-45.8742,170.5036,Scenic Hotel Southern Cross
182,Caceres,ES,47.8,clear sky,39.522,-6.3748,Ahc Hoteles
183,Anloga,GH,84.42,broken clouds,5.7947,0.8973,Pin Drop Hotel
184,Puerto Madryn,AR,73.38,clear sky,-42.7692,-65.0385,Hotel Tolosa
185,Lorengau,PG,80.76,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
187,Faanui,PF,81.28,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
188,Russell,US,56.97,broken clouds,32.3502,-85.1999,Macs
190,Georgetown,MY,76.95,scattered clouds,5.4112,100.3354,Cititel Penang
191,Dindori,IN,53.78,clear sky,22.95,81.0833,Konark Marriage Garden
193,Plaster Rock,CA,11.55,overcast clouds,46.9065,-67.39,Settler's Inn & Motel
194,Bowen,AU,71.82,broken clouds,-20.0167,148.2333,Castle Motor Lodge Motel
195,Burnie,AU,55.08,few clouds,-41.0667,145.9167,Beachfront Voyager Motor Inn
196,Kamiiso,JP,21.34,broken clouds,41.8167,140.65,Business Inn Abe
199,Saint-Georges,GD,83.88,scattered clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
200,Mayo,US,40.24,clear sky,38.8876,-76.5119,Resorts Resource Group International
201,Nouadhibou,MR,66.18,clear sky,20.931,-17.0347,El Medina
203,Kattivakkam,IN,80.08,overcast clouds,13.2167,80.3167,Euronova Freezer
206,Roxana,CR,90.12,broken clouds,10.2753,-83.7513,3BYES1
207,Koutsouras,GR,56.1,clear sky,35.0339,25.9469,The White Houses
208,Minas De Barroteran,MX,57.54,scattered clouds,27.6333,-101.2833,Motel Venecia
210,Eureka,US,64.2,clear sky,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
211,Haines Junction,CA,37.35,overcast clouds,60.7522,-137.5108,Parkside Inn
213,Touros,BR,85.1,clear sky,-5.1989,-35.4608,INN NEW HORIZON
214,Warrenton,ZA,71.55,broken clouds,-28.114,24.8475,Fish Eagles Call Warrenton
215,Faya,SA,52.32,clear sky,18.3851,42.4509,املاك خالد الشعشوع
217,Sitka,US,44.49,moderate rain,57.0531,-135.33,Westmark Sitka
218,Shingu,JP,38.91,few clouds,33.7333,135.9833,Shingu UI Hotel
219,Beatrice,US,46.87,clear sky,40.2681,-96.747,Victorian Inn Beatrice
224,Washington,US,51.04,overcast clouds,47.5001,-120.5015,"Cashmere Cider Mill Guest Suites, Weddings & Tasting Room"
225,Ahipara,NZ,73.51,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
226,Abha,SA,52.05,clear sky,18.2164,42.5053,Abha Hotel
227,Lerwick,GB,39.2,scattered clouds,60.1545,-1.1494,The Lerwick Hotel
228,Nishihara,JP,58.28,broken clouds,26.1842,127.7558,Minshuku Agaihama
229,Roald,NO,39.0,light rain,62.5833,6.1333,Flem Cabins
230,Alta Floresta,BR,87.62,broken clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
231,Rio Claro,BR,82.4,overcast clouds,-22.4114,-47.5614,Hotel Vivendas Rio Claro by Atlantica
232,Dickinson,US,60.19,clear sky,29.4608,-95.0513,Hampton Inn & Suites Houston/League City
233,Berlevag,NO,22.95,scattered clouds,70.8578,29.0864,Kvitbrakka
234,Cidreira,BR,80.22,clear sky,-30.1811,-50.2056,Hotel Castelo
235,Kahului,US,79.86,clear sky,20.8947,-156.47,Maui Seaside Hotel
236,Bacalar,MX,80.71,broken clouds,18.6667,-88.3833,Hotel Laguna Bacalar
237,Ibipeba,BR,79.63,moderate rain,-11.6408,-42.0111,Quitanda santos
238,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
239,Belmonte,BR,84.2,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
240,Korla,CN,23.36,clear sky,41.7597,86.1469,Gulisitan Hotel
241,Oeiras,BR,89.01,overcast clouds,-7.0253,-42.1311,Hotel SESC Oeiras
242,Constitucion,CL,71.06,clear sky,-35.3333,-72.4167,Hotel Boutique Las Azucenas
244,Huarmey,PE,74.98,scattered clouds,-10.0681,-78.1522,Hotel Miramar
245,Summerville,US,46.9,overcast clouds,33.0185,-80.1757,Sleep Inn Summerville-Charleston
246,Ciudad Bolivar,VE,91.44,overcast clouds,8.1222,-63.5497,Hotel Edi
248,Bambous Virieux,MU,79.21,light rain,-20.3428,57.7575,Casa Tia Villa
249,Baculin,PH,76.08,overcast clouds,7.4525,126.5842,Baculin Cove Beach Resort
250,Bengkulu,ID,76.12,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
251,Colina,BR,78.42,overcast clouds,-20.7133,-48.5408,HOTEL E RESTAURANTE GUARANA
254,Almeria,ES,49.44,clear sky,37.1667,-2.3333,Casa Rural El Laurel
255,Coihaique,CL,84.81,few clouds,-45.5752,-72.0662,Diego De Almagro Coyhaique
256,Avarua,CK,80.65,broken clouds,-21.2078,-159.775,Paradise Inn
257,Isangel,VU,77.11,overcast clouds,-19.55,169.2667,Tanna Lodge
258,Fortuna,US,63.93,clear sky,40.5982,-124.1573,Super 8 by Wyndham Fortuna
259,Aguimes,ES,64.65,few clouds,27.9054,-15.4461,Hotel Villa de Aguimes
260,Makakilo City,US,79.12,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
262,Kota Bahru,MY,80.55,few clouds,6.1333,102.2386,Grand Riverview Hotel
265,Progreso,MX,75.31,scattered clouds,21.2833,-89.6667,Playa Linda Hotel
267,Tabuk,PH,68.85,overcast clouds,17.4189,121.4443,Golden Berries Hotel and Convention
270,Buala,SB,82.24,light rain,-8.145,159.5921,Maringe Lagoon Lodge
271,Natal,BR,84.85,clear sky,-5.795,-35.2094,Villa Park Hotel | Natal
272,Lagoa,PT,60.08,scattered clouds,39.05,-27.9833,Casa Das Faias
273,Floro,NO,37.96,broken clouds,61.5996,5.0328,Kinn Hotell Florø
275,Port Blair,IN,77.04,drizzle,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
277,Acapulco,MX,85.82,few clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
278,Ellensburg,US,51.31,clear sky,46.9965,-120.5479,"Holiday Inn Express Ellensburg, an IHG Hotel"
279,Darnah,LY,57.69,broken clouds,32.767,22.6367,فندق الفردوس
281,Karratha,AU,83.57,clear sky,-20.7377,116.8463,ibis Styles Karratha
282,Tambun,ID,78.04,light rain,-6.2641,107.0712,Metland Hotel Bekasi
283,Quebrangulo,BR,79.79,few clouds,-9.3189,-36.4711,Pousada Central Quebrangulo Al
285,Tuatapere,NZ,54.82,clear sky,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
286,Namie,JP,31.71,broken clouds,37.4833,141.0,いこいの村なみえ
287,Valmiera,LV,35.42,overcast clouds,57.5411,25.4275,Hotel Naktsmājas
288,Maneadero,MX,71.19,clear sky,31.7167,-116.5667,Casa De Thompson
289,Kenai,US,22.08,clear sky,60.5544,-151.2583,Aspen Extended Stay Suites
290,Makubetsu,JP,23.86,light snow,45.3714,141.8211,RED BARON Bike Station Wakkanai
291,Camana,PE,74.34,broken clouds,-16.6228,-72.7111,Hostal Morales
292,Honavar,IN,70.18,scattered clouds,14.2833,74.45,Hotel Sagar Residency
293,Banjar,ID,78.66,overcast clouds,-8.19,114.9675,The Hamsa Resort
