City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Mar Del Plata,AR,2022-02-03 23:51:51,-38.0023,-57.5575,73.09,90,0,1.99
68,Ginda,IN,2022-02-03 23:53:42,30.6945,78.4932,33.96,93,100,3.51
69,Port Elizabeth,ZA,2022-02-03 23:53:42,-33.918,25.5701,68.29,68,0,16.11
70,Vila Franca Do Campo,PT,2022-02-03 23:53:43,37.7167,-25.4333,61.2,82,83,10.25
71,Novosergiyevka,RU,2022-02-03 23:53:43,52.0934,53.6528,27.16,92,100,11.1
72,Blagoyevo,RU,2022-02-03 23:53:44,63.3667,47.9167,7.21,98,98,2.06
73,Bubaque,GW,2022-02-03 23:53:44,11.2833,-15.8333,77.45,75,0,14.0
74,Jamestown,US,2022-02-03 23:53:23,42.097,-79.2353,26.1,69,100,8.01
75,Dhidhdhoo,MV,2022-02-03 23:53:45,6.8833,73.1,80.55,71,19,9.44
76,Caraquet,CA,2022-02-03 23:53:45,47.7941,-64.9386,25.34,81,100,13.44
77,Touros,BR,2022-02-03 23:53:46,-5.1989,-35.4608,81.5,75,73,12.88
78,Meybod,IR,2022-02-03 23:53:46,32.2501,54.0166,42.82,26,1,6.78
79,Saint-Philippe,RE,2022-02-03 23:53:11,-21.3585,55.7679,78.35,94,100,35.16
80,Salcuta,RO,2022-02-03 23:53:47,44.25,23.4333,28.98,78,14,5.48
81,Bredasdorp,ZA,2022-02-03 23:53:47,-34.5322,20.0403,61.29,72,30,3.44
82,Atengo,MX,2022-02-03 23:53:48,20.1667,-99.3333,72.95,22,30,10.0
83,Lakki Marwat,PK,2022-02-03 23:53:48,32.6079,70.9114,49.93,68,0,1.5
84,Acari,PE,2022-02-03 23:53:49,-15.4311,-74.6158,74.17,70,27,6.31
85,Olinda,BR,2022-02-03 23:50:46,-8.0089,-34.8553,82.13,69,40,6.91
86,Wukari,NG,2022-02-03 23:53:49,7.85,9.7833,73.15,16,34,5.77
87,Yumen,CN,2022-02-03 23:53:50,40.2833,97.2,13.37,39,57,9.04
88,Aswan,EG,2022-02-03 23:53:50,24.0934,32.907,54.7,35,0,8.05
89,Faya,SA,2022-02-03 23:51:53,18.3851,42.4509,57.31,66,35,4.41
90,Guane,CU,2022-02-03 23:53:51,22.2025,-84.0875,75.2,79,16,8.81
91,Caravelas,BR,2022-02-03 23:54:53,-17.7125,-39.2481,76.98,87,67,5.37
92,Castro,BR,2022-02-03 23:52:36,-24.7911,-50.0119,65.66,97,77,5.08
93,Salaya,IN,2022-02-03 23:54:54,22.3167,69.6,64.9,60,3,6.49
94,Laguna,US,2022-02-03 23:54:55,38.421,-121.4238,63.88,48,0,1.01
95,Kokkola,FI,2022-02-03 23:54:56,63.8385,23.1307,5.94,88,100,1.01
96,Buraydah,SA,2022-02-03 23:54:57,26.326,43.975,64.85,44,0,12.08
97,Kruisfontein,ZA,2022-02-03 23:54:58,-34.0033,24.7314,64.89,80,57,11.54
98,Bulungu,CD,2022-02-03 23:54:59,-4.55,18.6,67.15,98,99,2.3
99,Ponta Delgada,PT,2022-02-03 23:54:59,37.7333,-25.6667,61.5,77,20,14.97
100,Savannah Bight,HN,2022-02-03 23:55:00,16.45,-85.85,84.25,82,5,27.76
101,Lodwar,KE,2022-02-03 23:55:01,3.1191,35.5973,84.52,39,81,5.66
102,Talnakh,RU,2022-02-03 23:55:01,69.4865,88.3972,-13.58,99,91,7.14
103,Beruwala,LK,2022-02-03 23:55:01,6.4788,79.9828,72.07,87,2,3.71
104,Karmala,IN,2022-02-03 23:55:02,18.4167,75.2,61.92,65,13,10.67
105,Karasjok,NO,2022-02-03 23:55:03,69.4719,25.5112,-3.89,99,100,3.4
106,Shakhovskaya,RU,2022-02-03 23:55:04,56.0283,35.5097,14.25,97,98,3.29
107,Goba,ET,2022-02-03 23:55:04,7.0167,39.9833,46.29,47,57,5.12
108,Padang,ID,2022-02-03 23:55:05,-0.9492,100.3543,75.25,87,82,4.05
109,Algiers,DZ,2022-02-03 23:55:05,36.7525,3.042,51.62,76,0,2.3
110,Chuy,UY,2022-02-03 23:55:06,-33.6971,-53.4616,74.59,90,97,7.45
111,Turbat,PK,2022-02-03 23:55:06,26.0023,63.044,60.3,16,0,6.73
112,Akyab,MM,2022-02-03 23:55:06,20.15,92.9,62.1,70,1,6.42
113,Larsnes,NO,2022-02-03 23:55:07,62.2028,5.5773,40.68,92,100,20.51
114,Salalah,OM,2022-02-03 23:55:07,17.0151,54.0924,72.48,33,3,7.4
115,West Bay,KY,2022-02-03 23:55:08,19.3667,-81.4167,80.67,83,40,1.01
116,Husavik,IS,2022-02-03 23:52:00,66.0449,-17.3389,24.71,83,99,19.86
117,Victoria,HK,2022-02-03 23:51:06,22.2855,114.1577,57.94,82,93,3.0
118,Huarmey,PE,2022-02-03 23:54:05,-10.0681,-78.1522,72.81,77,25,9.1
119,Namibe,AO,2022-02-03 23:55:09,-15.1961,12.1522,72.1,76,2,7.02
120,Sao Gabriel Da Cachoeira,BR,2022-02-03 23:55:10,-0.1303,-67.0892,75.0,96,98,2.08
121,Georgetown,MY,2022-02-03 23:52:39,5.4112,100.3354,79.95,92,20,1.99
122,Santa Cruz Cabralia,BR,2022-02-03 23:55:10,-16.2781,-39.0247,80.83,78,20,10.36
123,Vestmannaeyjar,IS,2022-02-03 23:55:11,63.4427,-20.2734,25.68,67,6,31.85
124,Cidreira,BR,2022-02-03 23:55:11,-30.1811,-50.2056,76.03,87,24,22.03
125,Svinninge,DK,2022-02-03 23:55:12,55.7211,11.4655,43.14,100,100,13.24
126,Dingle,PH,2022-02-03 23:55:12,10.9995,122.6711,78.28,84,92,10.45
127,Portadown,GB,2022-02-03 23:55:13,54.4241,-6.4412,42.62,79,100,11.88
128,Ribeira Grande,PT,2022-02-03 23:55:13,38.5167,-28.7,58.8,74,100,17.43
129,Oskemen,KZ,2022-02-03 23:55:14,49.9565,82.6119,-16.08,75,100,0.0
130,Storm Lake,US,2022-02-03 23:55:14,42.6411,-95.2097,8.35,55,0,6.91
131,Sisimiut,GL,2022-02-03 23:55:14,66.9395,-53.6735,13.69,79,99,36.53
132,Pasighat,IN,2022-02-03 23:55:15,28.0667,95.3333,52.77,66,88,3.85
133,Puerto Madryn,AR,2022-02-03 23:50:35,-42.7692,-65.0385,71.89,46,75,2.62
134,Chrudim,CZ,2022-02-03 23:55:16,49.9511,15.7956,40.05,100,100,5.99
135,Teguldet,RU,2022-02-03 23:50:23,57.3064,88.1667,13.05,95,100,7.31
136,Mbutuy,PY,2022-02-03 23:55:16,-24.9667,-56.3,74.08,95,50,6.08
137,Mizdah,LY,2022-02-03 23:56:17,31.4451,12.9801,44.55,90,0,4.05
138,Magaria,NE,2022-02-03 23:56:17,12.9983,8.9099,59.31,19,0,13.47
139,Clyde River,CA,2022-02-03 23:56:18,70.4692,-68.5914,-9.17,84,100,34.52
140,Hvolsvollur,IS,2022-02-03 23:56:18,63.7533,-20.2243,16.2,76,35,9.71
141,Camacha,PT,2022-02-03 23:56:19,33.0833,-16.3333,62.53,94,20,9.22
142,Vila Do Maio,CV,2022-02-03 23:56:19,15.1333,-23.2167,74.19,80,0,14.47
143,Stanghelle,NO,2022-02-03 23:56:19,60.5528,5.7357,42.84,90,100,7.25
144,Gamba,GA,2022-02-03 23:56:20,-2.65,10.0,74.23,89,96,1.28
145,The Valley,AI,2022-02-03 23:56:20,18.217,-63.0578,78.66,78,20,4.61
146,Lodja,CD,2022-02-03 23:55:35,-3.4833,23.4333,68.43,91,100,2.51
147,Ostrovnoy,RU,2022-02-03 23:56:21,68.0531,39.5131,14.49,92,100,3.67
148,Beyneu,KZ,2022-02-03 23:56:21,45.3167,55.2,35.6,69,70,21.85
149,Ugep,NG,2022-02-03 23:56:22,5.8086,8.0812,78.01,74,85,4.16
150,Umm Lajj,SA,2022-02-03 23:56:22,25.0213,37.2685,70.03,55,0,15.7
151,Lagoa,PT,2022-02-03 23:56:22,39.05,-27.9833,57.78,73,100,14.05
152,Abu Samrah,SY,2022-02-03 23:56:23,35.3029,37.1841,45.39,75,30,7.25
153,Gobabis,NA,2022-02-03 23:56:23,-22.45,18.9667,72.63,40,79,11.68
154,Klaksvik,FO,2022-02-03 23:56:15,62.2266,-6.589,32.92,61,51,41.79
155,Bijapur,IN,2022-02-03 23:56:24,16.8333,75.7,61.95,58,7,9.26
156,Kalat,PK,2022-02-03 23:56:24,29.0225,66.5916,32.27,28,0,2.3
157,Sabang,ID,2022-02-03 23:56:25,5.8933,95.3214,82.09,70,54,12.12
158,Maraba,BR,2022-02-03 23:56:25,-5.3686,-49.1178,73.76,97,96,0.85
159,Santiago Del Estero,AR,2022-02-03 23:56:25,-27.7951,-64.2615,80.82,63,63,6.04
160,Port Blair,IN,2022-02-03 23:54:02,11.6667,92.75,71.64,94,40,0.0
161,Sioux Lookout,CA,2022-02-03 23:56:26,50.1001,-91.917,-3.62,71,75,0.0
162,Tocopilla,CL,2022-02-03 23:52:01,-22.092,-70.1979,70.07,75,19,12.44
163,Tabuk,PH,2022-02-03 23:56:27,17.4189,121.4443,71.38,88,15,2.46
164,Asosa,ET,2022-02-03 23:56:27,10.0667,34.5333,69.75,25,60,6.55
165,Mopti,ML,2022-02-03 23:56:28,14.6667,-4.0,72.43,12,18,8.95
166,Vizianagaram,IN,2022-02-03 23:56:28,18.1167,83.4167,69.31,89,20,4.68
167,Yellowknife,CA,2022-02-03 23:56:13,62.456,-114.3525,-22.45,87,0,6.91
168,Pedernales,DO,2022-02-03 23:56:29,18.0384,-71.744,76.93,72,71,5.32
169,Jurado,CO,2022-02-03 23:56:30,7.1053,-77.7641,77.34,89,60,0.58
170,Katima Mulilo,NA,2022-02-03 23:56:30,-17.5,24.2667,66.15,91,64,3.31
171,Nadrag,RO,2022-02-03 23:56:31,45.65,22.1833,24.89,84,55,3.71
172,Praia Da Vitoria,PT,2022-02-03 23:55:25,38.7333,-27.0667,57.45,88,20,13.47
173,Lucea,JM,2022-02-03 23:56:31,18.451,-78.1736,80.46,78,11,10.04
174,Kungurtug,RU,2022-02-03 23:56:32,50.5994,97.5228,-15.77,99,99,1.1
175,Korla,CN,2022-02-03 23:54:18,41.7597,86.1469,24.62,47,100,6.58
176,Japura,ID,2022-02-03 23:56:32,-0.3167,102.35,72.79,97,72,1.41
177,Bozova,TR,2022-02-03 23:56:33,37.3625,38.5267,43.72,95,100,14.36
178,Ponta Do Sol,PT,2022-02-03 23:56:33,32.6667,-17.1,66.0,78,56,5.39
179,Leh,IN,2022-02-03 23:52:00,34.1667,77.5833,5.86,96,100,1.97
180,Zverinogolovskoye,RU,2022-02-03 23:56:34,54.4586,64.8542,21.02,82,100,15.97
181,Thompson,CA,2022-02-03 23:56:34,55.7435,-97.8558,-12.84,64,0,9.22
182,Jumla,NP,2022-02-03 23:56:34,29.2747,82.1838,34.52,98,100,5.3
183,Edd,ER,2022-02-03 23:56:35,13.9297,41.6925,82.15,33,88,15.88
184,La Rioja,ES,2022-02-03 23:56:35,42.25,-2.5,47.05,65,99,3.47
185,Iqaluit,CA,2022-02-03 23:57:36,63.7506,-68.5145,-9.67,64,75,10.36
186,Mendi,PG,2022-02-03 23:57:37,-6.1761,143.6513,69.13,58,86,2.26
187,Coihaique,CL,2022-02-03 23:57:37,-45.5752,-72.0662,66.15,52,75,6.91
188,Saldanha,ZA,2022-02-03 23:57:38,-33.0117,17.9442,59.05,80,2,19.24
189,Saint-Junien,FR,2022-02-03 23:57:38,45.8833,0.9,41.94,95,71,2.66
190,Oneonta,US,2022-02-03 23:57:38,42.4529,-75.0638,38.8,97,100,4.85
191,Black River,JM,2022-02-03 23:53:48,18.0264,-77.8487,80.6,79,18,3.02
192,Rawson,AR,2022-02-03 23:57:39,-43.3002,-65.1023,71.89,53,75,11.5
193,Strezhevoy,RU,2022-02-03 23:57:39,60.7333,77.5889,21.18,92,100,12.03
194,Rorvik,NO,2022-02-03 23:57:40,64.8621,11.2373,27.93,80,100,41.05
195,Antsohihy,MG,2022-02-03 23:57:40,-14.8796,47.9875,72.79,98,100,3.65
196,Richards Bay,ZA,2022-02-03 23:57:41,-28.783,32.0377,77.29,92,72,6.44
197,Chicama,PE,2022-02-03 23:57:41,-7.8447,-79.1469,66.74,68,55,8.23
198,Svetlogorsk,BY,2022-02-03 23:57:42,52.6333,29.7333,9.39,98,89,5.79
199,Souillac,MU,2022-02-03 23:53:37,-20.5167,57.5167,80.98,89,75,25.32
200,Hearst,CA,2022-02-03 23:57:42,49.6835,-83.6665,-9.15,96,66,2.44
201,Rincon,US,2022-02-03 23:57:43,32.296,-81.2354,70.25,83,84,1.01
202,Matagami,CA,2022-02-03 23:57:43,49.7502,-77.6328,-16.49,69,0,2.3
203,Ambilobe,MG,2022-02-03 23:57:43,-13.2,49.05,75.76,92,100,6.42
204,Matay,EG,2022-02-03 23:57:44,28.419,30.7792,51.46,50,12,11.45
205,Brigantine,US,2022-02-03 23:57:44,39.4101,-74.3646,50.04,97,100,17.38
206,Cockburn Town,TC,2022-02-03 23:56:20,21.4612,-71.1419,75.67,71,26,22.19
207,Atar,MR,2022-02-03 23:57:45,20.5169,-13.0499,69.44,13,0,7.9
208,San Cristobal,VE,2022-02-03 23:54:28,7.7669,-72.225,77.18,62,79,1.81
209,Boyuibe,BO,2022-02-03 23:57:46,-20.4167,-63.2833,89.51,59,50,6.26
210,Teya,RU,2022-02-03 23:57:46,60.3778,92.6267,10.9,93,99,6.62
211,Matam,SN,2022-02-03 23:57:47,15.6175,-13.3303,71.6,28,0,2.3
212,Arroyo,ES,2022-02-03 23:57:47,41.6096,-4.7969,45.07,68,100,6.15
213,Celestun,MX,2022-02-03 23:57:47,20.8667,-90.4,80.28,69,0,8.46
214,Carbonia,IT,2022-02-03 23:57:48,39.1672,8.5222,47.01,78,40,2.73
215,Krasnovishersk,RU,2022-02-03 23:57:48,60.4078,57.082,-2.02,100,100,1.03
216,Kushmurun,KZ,2022-02-03 23:57:08,52.4503,64.6311,14.09,84,100,14.12
217,Malartic,CA,2022-02-03 23:57:49,48.1335,-78.1328,-5.98,71,94,4.16
218,Necochea,AR,2022-02-03 23:56:20,-38.5473,-58.7368,68.04,89,97,8.23
219,Hamilton,US,2022-02-03 23:57:50,39.1834,-84.5333,27.05,92,100,3.0
220,Havre-Saint-Pierre,CA,2022-02-03 23:57:50,50.2334,-63.5986,18.19,73,100,19.57
221,Adamovka,RU,2022-02-03 23:57:50,51.5223,59.9396,18.9,84,100,10.76
222,San Carlos De Bariloche,AR,2022-02-03 23:57:51,-41.1456,-71.3082,67.75,40,40,14.97
223,Mpanda,TZ,2022-02-03 23:57:51,-6.3655,31.0409,65.39,98,100,4.56
224,Sur,OM,2022-02-03 23:57:52,22.5667,59.5289,67.84,49,0,4.7
225,Codajas,BR,2022-02-03 23:57:52,-3.8367,-62.0569,73.81,98,86,2.06
226,Araouane,ML,2022-02-03 23:57:52,18.9048,-3.5265,65.46,11,0,9.89
227,Taltal,CL,2022-02-03 23:57:53,-25.4,-70.4833,68.49,69,11,5.37
228,Hofn,IS,2022-02-03 23:57:53,64.2539,-15.2082,27.86,59,72,24.7
229,Sept-Iles,CA,2022-02-03 23:57:54,50.2001,-66.3821,8.06,57,75,11.99
230,Rafaela,AR,2022-02-03 23:58:54,-31.2503,-61.4867,80.06,68,17,1.99
231,Kortkeros,RU,2022-02-03 23:58:55,61.8106,51.5806,15.8,99,96,4.25
232,Mao,ES,2022-02-03 23:58:55,39.8885,4.2658,48.76,100,20,4.61
233,Zemio,CF,2022-02-03 23:58:56,5.0314,25.1361,76.77,30,100,2.75
234,Danielskuil,ZA,2022-02-03 23:58:56,-28.1887,23.5395,61.92,74,0,5.1
235,Mae Sai,TH,2022-02-03 23:58:57,20.4335,99.8762,53.89,57,0,2.53
236,Lalibela,ET,2022-02-03 23:58:57,12.0333,39.0333,58.32,48,81,2.44
237,Fort Frances,CA,2022-02-03 23:58:57,48.5999,-93.4003,-3.84,66,58,3.47
238,Male,MV,2022-02-03 23:58:58,4.1748,73.5089,80.55,83,20,4.61
239,Emba,KZ,2022-02-03 23:58:58,48.8264,58.1442,20.77,78,100,11.3
240,Madingou,CG,2022-02-03 23:58:59,-4.1536,13.55,71.42,98,99,2.21
241,Pangnirtung,CA,2022-02-03 23:58:59,66.1451,-65.7125,-4.0,77,100,10.36
242,Turochak,RU,2022-02-03 23:59:00,52.2576,87.1224,-6.47,99,60,2.98
243,Peniche,PT,2022-02-03 23:59:00,39.3558,-9.3811,54.09,84,100,2.06
244,Tashtyp,RU,2022-02-03 23:59:00,52.7939,89.8983,-5.4,99,50,2.66
245,Koulikoro,ML,2022-02-03 23:59:01,14.0,-7.75,66.22,15,0,7.25
246,Veracruz,MX,2022-02-03 23:59:01,19.3333,-96.6667,69.87,75,2,3.0
247,Tasiilaq,GL,2022-02-03 23:55:45,65.6145,-37.6368,6.17,61,100,7.23
248,Gat,IL,2022-02-03 23:58:17,31.61,34.7642,54.39,100,6,10.31
249,Boa Vista,BR,2022-02-03 23:58:14,2.8197,-60.6733,85.98,51,20,6.91
250,Acarau,BR,2022-02-03 23:59:02,-2.8856,-40.12,79.99,80,59,14.25
251,Bousso,TD,2022-02-03 23:59:03,10.4795,16.7117,70.97,12,38,9.17
252,Sistranda,NO,2022-02-03 23:59:03,63.7256,8.834,37.36,69,100,16.26
253,Indiaroba,BR,2022-02-03 23:59:04,-11.5192,-37.5117,77.49,81,54,4.41
254,Vardo,NO,2022-02-03 23:59:05,70.3705,31.1107,26.76,65,100,15.23
255,Manaure,CO,2022-02-03 23:59:05,11.7751,-72.4445,80.71,71,0,21.54
256,Lubango,AO,2022-02-03 23:55:52,-14.9172,13.4925,60.64,56,33,0.76
257,Bambous Virieux,MU,2022-02-03 23:59:06,-20.3428,57.7575,80.85,89,75,25.32
258,Cap Malheureux,MU,2022-02-03 23:59:06,-19.9842,57.6142,81.09,84,100,14.0
259,Maceio,BR,2022-02-03 23:59:06,-9.6658,-35.7353,80.04,83,20,4.61
260,Lima,PE,2022-02-03 23:58:13,-12.0432,-77.0282,71.85,77,0,3.0
261,Crossville,US,2022-02-03 23:58:55,35.949,-85.0269,58.51,98,100,8.99
262,Pitimbu,BR,2022-02-03 23:58:01,-7.4706,-34.8086,82.99,77,68,12.88
263,Batavia,US,2022-02-03 23:59:08,41.85,-88.3126,24.91,78,100,4.0
264,Visby,SE,2022-02-03 23:59:08,57.6409,18.296,36.05,93,100,12.66
265,Tselinnoye,RU,2022-02-03 23:59:08,53.0833,85.6667,-4.79,100,100,1.74
266,Opuwo,NA,2022-02-03 23:57:13,-18.0607,13.84,65.03,55,6,4.03
267,Ati,TD,2022-02-03 23:59:09,13.2154,18.3353,64.08,15,13,12.77
268,Nosy Varika,MG,2022-02-03 23:59:09,-20.5833,48.5333,74.26,95,100,12.08
269,Dolores,AR,2022-02-03 23:59:10,-36.3132,-57.6792,66.76,88,63,4.38
270,Moron,AR,2022-02-03 23:59:10,-34.6534,-58.6198,75.09,87,74,4.36
271,Port Said,EG,2022-02-03 23:59:12,31.2565,32.2841,55.38,67,0,11.5
272,Melchor De Mencos,GT,2022-02-03 23:59:12,17.0686,-89.1522,91.4,58,20,0.0
273,Raudeberg,NO,2022-02-03 23:59:13,61.9875,5.1352,38.98,94,100,8.99
274,Codrington,AU,2022-02-03 23:59:13,-38.2667,141.9667,65.82,60,88,14.45
275,Saiha,IN,2022-02-03 23:59:14,22.4833,92.9667,50.34,71,1,4.36
276,Spodnja Idrija,SI,2022-02-04 00:00:17,46.0319,14.0272,42.93,82,100,4.7
